0,1,2,3,4,5,6
北海道立近代美術館,"常設展示　北海道の美術・日本近代の美術・海外の美術　パスキンの絵画・版画・ガラス工芸、北海道立近代美術館、Hokkaido Museum of Modern Art、開館時間　午前10時～午後5時（入館は午後4時30分まで）、休館日　月曜日・国民の祝日（ただし5/5・9/23・11/3は臨時開館いたします）、年末年始（12月28日⇒1月4日）、観覧料（常設展）　一般150円（120円）・高・大生120円（80円）・小・中生80円（50円）、（）内は10名以上の団体料金、※教員に引率された小・中学校・特殊学校生徒とその引率者、身体障害者、65歳以上の方、生活保護を受けている方は無料となります。54年度の特別展　救世熱海美術館名品展ー4月1日～4月22日、19世紀オランダ絵画展ー5月20日～6月10日、フランス美術・栄光300年展ー6月23日～7月29日、ガラスの美ーアール・デコー6月23日～8月26日、木田金次郎ー8月30日～9月23日、第11回東京国際版画ビエンナーレ展ー10月6日～10月28日、蠣崎波響展ー11月3日～12月23日、子どもと親の美術館’80ー1月5日～2月10日、第3回北海道現代美術展ー1月19日～2月10日、昭和54年度現代美術選抜展ー2月17日～3月2日、※都合により会期が変更される場合もあります、教育普及活動　作品解説（日曜日・2時）、展示室講話（土曜日・2時）、質問コーナー（水・土・日　1時～3時）、その他、講演会、映画会、美術講座、技法講座など〈詳細は近代美術館にお問い合わせください〉、札幌市中央区北1条西17丁目、TEL（011)644-6881、Nishi-17 Kita-1,Chuo-ku,SAPPORO、交通案内　地下鉄（東西線）西18丁目下車徒歩5分、国鉄バス・中央バス西17丁目下車徒歩1分、北海道立近代美術館の地図付き",,1979年,73.0×51.0cm,,po000073
北海道立三岸好太郎美術館,北海道立三岸好太郎美術館、THE MIGISHI KOTARO MUSEUM OF ART HOKKAIDO、昭和54年度のテーマ展示　三岸好太郎の詩と絵画展　4月18日（水）～7月22日（日）、三岸好太郎・画壇へデビューのころ　10月24日（水）～12月26日（水）、通年開館　月曜日・祝日・年末年始休館、入館無料　午前10時～午後5時、札幌市中央区北1条西5丁目、TEL 011-221-0811,,1969年,73.0×51.0cm,,po000074
フランス美術《栄光の300年》,（開館2周年記念）フランス美術《栄光の300年》、BEAUX-ARTS DE PARIS　パリからの贈りもの、主催　北海道立近代美術館・パリ市・札幌テレビ放送・日本テレビ放送網、後援　外務省・文化庁・フランス大使館・読売新聞社、会期（1979) 6月23日（土）ー7月29日（日）、月曜日休館・午前10時～午後5時（ただし入館は午後4時30分まで）、北海道立近代美術館、札幌市中央区北1条西17丁目、TEL(011)644-6881、観覧料　一般600円（500円）、高・大生400円（300円）、小・中学生300円（200円）、（）内は前売および団体料金、アメデオ・モディリアーニ（肩を持つ女）1919年の絵の写真付き,,1979年,73.0×51.0cm,,po000076
第9回国民体育大会,第9回国民体育大会、夏季　7月23日～27日ヨット、24日～28日山岳、秋季　8月22日～26日、主催　日本体育協会・文部省、後援　北海道・札幌市・小樽市・岩見沢市・函館市・旭川市・美唄市・苫小牧市、第9回国民体育大会北海道協賛会、フルヤのミルクキャラメル,,1954年,85.0×60.0cm,,po000078
たくぎんの1969年カレンダー,1969年のカレンダー付き、サロベツ原野と利尻岳の絵、画・中村善策のサインあり、印刷　大日本印刷株式会社、昭和45年1月17日受付印あり,,1969年,59.0×75.0cm,,po000086
第9回　国体ラグビー,第9回国体ラグビー、8月22・24・26日札幌市、主催・日本体育協会・文部省、後援・北海道・札幌市、札幌田上印刷印行、投資信託は山一證券、札幌市南1西4・小樽市大国屋内、サインあり,,1954年,75.0×53.0cm,,po000089
スキーと冬山の写真展,冬こそ大気の中へ　スキーと冬山の写真展、会場・銀座　伊東屋七階、会期・12月20日より26日迄、スキー相談所開設　講師・千家哲麿氏・中村貞治氏・伊東虎夫氏・阿部一美氏・茂木愼雄氏、会期中毎日　午后三時ヨリ七時迄、主催　東京鉄道局・日本旅行協会・山と渓谷社　,,,76.5×62.0cm,,po000090
第9回　国体卓球,第9回　国体卓球、旭川市8月22日⇒26日、主催⇒日本体育協会・文部省、後援⇒北海道・旭川市、札幌田上印刷印行、サインあり、投資信託は山一證券、札幌市南1西4・小樽市大国屋内,,1954年,75.5×52.0cm,,po000091
国体宝くじ,国体宝くじ、抽せん日→7月11日、1等50万円　2等30万円　1等残念賞5万円　2等残念賞3万円　3等10万円　4等5万円　5等1万円　1マイ30円、北海道受託北海道拓殖銀行、札幌山藤印刷株式会社、サインあり,,1954年,52.5×37.0cm,,po000094
暮らしの中に光を…貯蓄,暮らしの中に光を…貯蓄、貯蓄増強中央委員会、後援/大蔵省・日本銀行、協賛/都道府県,,,73.0×52.0cm,,po000095
第17回函館山市民ハイキング大会,第17回函館山市民ハイキング大会、第10回体力つくりあるけあるけ大会、10月10日（体育の日）、雨天の際は次の日曜日（11日）、登山受付9時⇒11時30分、受付場所　旧山道分岐点、登山者には抽せんにより記念品を差し上げます。10才以上の方には記念品と記念撮影をして差し上げます。主催　函館市教育委員会、昭和45年10月6日受付印　,,,39.5×54.5cm,,po000099
謹告,謹告、当店舗は来る12日(日)を以って閉店致す事になりました。長い間のご愛顧誠にありがとうございました。尚、五稜郭新店舗は10月21日(火)に開店致しますのでご期待下さいませ。昭和44年10月13日受付印,,,76.0×53.5cm,,po000106
港まつり,港まつり、FESTIVAL IN HAKODATE PORT、JULY1～5 1948、函館市、サインあり,,,64.5×43.5cm,,po000107
港まつり,港まつり、昭和二十三年七月一日→五日、開港　嘉永六年（西歴一八五三年）アメリカ提督ペリーを我国に送りて開港通商を求む。幕府相議して翌年ペリー再び神奈川に来航せし時、和親条約を結び下田と函館の二港を開港する事となれり。函館市、サインあり,,,74.5×52.5cm,,po000108
ペリー来航100年記念　港まつり,ペリー来航100年記念港まつり、7月8日→14日、函館市・函館商工会議所・青函鉄道管理局、函館・辻印刷所印行、サインあり,,,75.5×52.5cm,,po000113
中村善策展,,,,36.5×51.5cm,,po000116
国画会　渋谷円吉油絵個展,国画会　渋谷円吉油絵個展、9/14→19日、明治生命ビル5階ホール、,,,79.0×37.0cm,,po000122
EXPO’70 日本万国博,昭和45年3月20日受付印,,,73.0×51.5cm,,po000124
国策のグラフ　写真週報　国策のパンフレット　週報,,,,42.0×30.0cm,,po000170
校註　日本文学大系校註　国歌大系近代　日本文学大系,,,,61.5×22.5cm,,po000172
国策のグラフ　写真週報,,,,54.0×26.0cm,,po000174
講談倶楽部新年号,,,,77.5×53.0cm,,po000177
訳註　初等　英文世界名著全集　全十五巻,,,,76.0×53.0cm,,po000178
民間放送20周年記念　民放のイメージを標語に,昭和46年7月13日受付印,,,73.0×51.5cm,,po000188
みんなが貯蓄　住みよい社会,昭和48年11月22日,,,73.0×51.5cm,,po000192
お宅にも郵便受けを,昭和45年1月17日受付印,,,73.0×51.5cm,,po000193
第2回市民劇場準特別公演,第2回市民劇場準特別公演、11月23日（金）午後6時30分開演、函館市民会館大ホール　入場料500円、主催　三国バレエ研究所・函館市民劇場運営委員会、後援　北海道新聞函館支社・函館市教育委員会、昭和48年10月30日印あり,,,73.5×52.0cm,,po000194
世界の巨匠　葛飾北斎展,世界の巨匠　葛飾北斎展、代表作「富嶽三十六景」ほか版画、肉筆画140余点、8/24→9/7札幌・北海道立美術館、9/9→9/15函館・ボーニ森屋、9/19→9/24旭川・マルカツ、主催　葛飾北斎展実行委員会・北海道新聞社・日本浮世絵協会・北海道立美術館、後援　文化庁・北海道・札幌市教育委員会・函館市教育委員会・旭川市教育委員会、入場料　一般200円（150円）、高校・大学生150円（100円）、小・中学生100円（50円）＝（）内は団体・前売り券、団体（20人以上）・前売り券の申し込みは北海道新聞本社・支社・支局まで、昭和44年8月27日受付印,,,73.0×51.0cm,,po000203
貯蓄増強10月特別運動　明るい家庭　希望の夢は貯蓄から,昭和44年10月2日受付印,,,73.5×52.0cm,,po000204
国民年金に加入しよう,昭和45年5月23日受付印,,,73.0×52.0cm,,po000210
文芸春秋　文化講演会,文藝春秋　文化講演会、入場無料、遠藤周作、三浦朱門、佐藤愛子、9月30日（水）・午後6時30分開演、会場＝函館市民会館、文藝春秋、函館地区出版物小売業組合、函館市教育委員会、函館市文化団体協議会、函館市民劇場運営委員会、昭和45年10月12日受付印,,,73.0×51.0cm,,po000215
お子さまの夢を育てましょう,昭和45年11月29日受付印,,,73.0×51.5cm,,po000216
第6回　北海道秀作美術展,昭和48年10月11日,,,72.5×51.5cm,,po000218
函館信用金庫　CALENDAR 1970,,,,72.5×51.5cm,,po000219
’73　白楊祭,’73白楊祭、8.31～9.1/2、函館中部高校、昭和48年8月22日受付印,,,54.5×37.5cm,,po000221
第11回北海道人形劇フェスティバル,"第11回北海道人形劇フェスティバル、歓迎公演　8月15日午後6時青年センター、市中パレード　8月16日午前10時30分松風町～千代台町、市中公演　8月17日午前10時各児童館ほか2ヶ所、記念特別公演　8月17日午前1時青年センター、とき　1969 8月15/16/17日、ところ　函館市青年センター、主催　第11回北海道人形劇フェスティバル実行委員会・函館人形劇団体協議会・北海道人形劇サークル連絡協議会、後援　函館市・函館市教育委員会・函館市社会福祉協議会・函館市青年サークル連絡協議会・函館市中小企業労務改善協議会、雪印牛乳アイスクリーム、株式会社＝雪の店・本社　松風町1-5 TEL22-4105（代）、Design,T,Kameya、印刷/竜文堂印刷所、昭和44年7月31日受付印",,,71.0×50.5cm,,po000227
うれしい便り大切な手紙みんな郵便受けで,昭和45年8月5日受付印,,,72.0×51.5cm,,po000234
利子の引きあげ,昭和45年8月5日受付印,,,73.5×52.5cm,,po000235
第9回海洋少年団北海道大会,第9回海洋少年団北海道大会、1970/8.1→3、主催　北海道海洋少年団連盟、主管　函館海洋少年団、昭和45年7月17日受付印,,,59.5×42.0cm,,po000237
アポロのようにスピーディで確実な郵便のおとどけ郵便番号がそれをお約束します,昭和46年6月13日受付印　,,,73.0×52.0cm,,po000240
夏のレジャーは忍路へ,,,,73.0×52.0cm,,po000247
宿泊施設ご案内,昭和46年6月3日受付印,,,72.5×51.5cm,,po000256
さくらと史蹟の名所　松前,サインあり,,,87.0×61.0cm,,po000258
きれいな海のきれいな魚,昭和48年7月28日のサインあり,,,38.0×54.0cm,,po000262
近代詩歌展《その三》　明治・大正の詩人たち,昭和48年9月26日のサインあり　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,73.0×51.5cm,,po000265
まりもを故郷え　代りに素晴らしい人造まりもが生れました,人造まりもの値段の紙付き　,,,52.0×74.5cm,,po000275
マリモを大切に…,人造まりもの値段の紙付き,,,38.0×53.5cm,,po000276
The Tokyo Nichi=Nichi,,,,34.5×25.5cm,,po000277
日清汽船株式会社,,,,120.0×45.0cm,,po000282
足利本銘仙,,,,154.5×52.5cm,,po000284
婦人公論　9月号,,,,105.0×37.5cm,,po000288
ヴエス軍作画展,ヴエス軍作画展、函館藝術写真倶楽部、52-32・7・8391、今井百貨店於,,,78.0×36.5cm,,po000295
ヘレンケラー女史大衆講演会,ヘレンケラー女史大衆講演会、昭和12年6月19日午後3時、函館市新川校於,,,52.5×38.5cm,,po000296
天間正五朗　前田政雄　版画展,天間正五朗・前田政雄版画展、会期　8月20日～8月24日、ボーニ森屋百貨店五階於,,,43.0×31.5cm,,po000297
岡田紅陽作品　四季の富士写真展覧会,岡田紅陽作品　四季の富士写真展覧会の日程表の紙付き,,,38.5×38.0cm,,po000298
前田政雄個人版画展覧会,前田政雄個人展覧会、会期　十一月三日ヨリ五日マデ、丸井今井二階会議室、昭和13年の印あり,,,79.5×36.5cm,,po000299
第三回　彩人社洋画展,第三回　彩人社洋画展、9月1日～5日、桐田頼三遺作陳列、会場　森屋、第三回　彩人社洋画展の日程表の紙付き,,,55.0×39.0cm,,po000300
第三回　函館市内中等学校　雄弁大会,第三回　函館市内中等学校雄辯大会、日時　十月十六日（土曜日）午后正六時ヨリ、場所　共愛会館講堂、来聴歓迎、特ニ時局重大ナル折柄特別講演有之多数御来聴ヲ望ム！！殊ニ御婦人席ノ設備アリ、主催　函館高等水産学校　オコツク会辯論部,,,55.0×39.5cm,,po000306
知学　田中巴之助先生特別大講演会,知学　田中巴之助先生特別大講演会、五月十二日午后正六時、公会堂二テ、主催　函館市役所・函館教育会・函館図書館、来聴熱望,,,53.5×26.5cm,,po000307
日本聖公会組織四十年記念　基督教講演会,日本聖公会組織四十年記念　基督教講演会、時　二十五日午前十時・二十六日午後七時・二十七日午後七時、所　元町水元聖公会、講師　後藤粂吉氏・杉浦義道氏・小島茂雄氏、日本聖公会組織四十年記念　基督教講演会の日程表の紙付き,,,55.0×40.0cm,,po000308
医学智識普及後援会,醫学知識普及後援会、一、挨拶　学藝部副部長　中村光慶先生、一、空気イオンの話　学藝部長北大教授　井上善十郎博士、一、胃癌の話　北大教授　中川諭博士、一、ブラジルの印象　北大教授　中村豊博士　付（十六ミリ映画）、学術映画　一、乳児結核の予防　一、穿顱術　一、北大病理学教室　一、帝王切開　基他数編、七月二十四日（土）午后六時（伹　十五歳以下絶対お断り）、入場無料、函館市共愛会館於、後援　函館市醫師会・函館市教育会・函館市役所教育課・函館新聞社、主催　北海道帝国大学醫学部,,,54.5×39.0cm,,po000310
コドモの会,コドモの会、童話劇　童謡舞踊、会券前賣四十銭　小学生券十銭、会場　巴座　八月十三日　晝の部一時　夜の部六時、主催　函館童話劇研究会,,,79.0×35.0cm,,po000323
塗料智識普及宣博,民家科学講座　塗料知識普及宣博、講演　映画実験、日時　七月三日午後六時三十分開会、会場　市民館、主催　塗料普及会、来聴歓迎,,,76.0×34.5cm,,po000324
五稜郭懐旧館は,五稜郭懐旧館は五十年れ往昔を其儘形体に顕はしを五稜郭の由来を説明したる者。演劇よりも面白し。請ふ来観の栄を賜へ八月　日より毎日同郭内に開館五稜郭懐旧会,,,77.5×52.5cm,,po000331
COMMERCIAL SHOW ROOM,サインあり,,,76.5×53.5cm,,po000332
函館青森間貨車航送記念共進会,函館青森間貨車航送記念共進会、第一宝小学校、第二会場高砂小学校、会期　自八月十日　至八月廿三日、主催　函館市役所・函館商業会議所、毎日　午前八時ヨリ午前九時迄、函館第一印刷印行、世界の函館の紙付き,,,78.0×54.0cm,,po000333
福引,,,,72.0×48.5cm,,po000334
北海道畜産産馬共進会,,,,67.0×51.0cm,,po000335
岩手県物産共進会,,,,77.5×51.5cm,,po000337
第十五回　全国特産品博覧会,,,,77.5×53.5cm,,po000338
第十回全国特産品　博覧会開設,,,,78.5×53.0cm,,po000340
教育博覧会,,,,76.0×52.5cm,,po000341
御聖徳景仰　明治大帝御一代展覧会,,,,78.0×53.0cm,,po000342
大名古屋土地博覧会,大名古屋博覧会の御案内の紙付き,,,77.0×52.5cm,,po000343
国産振興　北海道拓殖博覧会,,,,79.0×55.0cm,,po000344
函館商品陳列館,函館商品陳列館、住吉小学校於、会期　自八月拾日　至同廿壱日、第四回北海道衛生展覧会、協賛会、吉川堂辻印行,,,76.5×53.5cm,,po000347
奥羽六県連合馬匹共進会,,,,79.0×53.5cm,,po000350
全国優良土産品及包装紙展覧会,,,,78.0×55.0cm,,po000351
メートルとサイズ展覧会,,,,77.5×53.0cm,,po000352
国防と産業大博覧会,,,,77.5×53.0cm,,po000353
満蒙資源館,,,,75.5×53.0cm,,po000356
紀元二千六百年記念　昭和十五年開催　日本万国博覧会,,,,77.0×53.0cm,,po000357
日満産業大博覧会,,,,77.0×53.0cm,,po000358
北海道大博覧会,サインあり,,,74.5×53.0cm,,po000359
名古屋汎太平洋平和博覧会,,,,76.5×53.0cm,,po000360
御大典奉祝名古屋博覧会,,,,76.0×53.0cm,,po000362
全国観光地土産品展示会・全国水産製品展示会,会期・五月八日より十七日まで、全国観光地土産品展示会、展示品　全道竝全国各観光地及各驛々賣土産品其他観光資料約八百点、主催　函館市役所・函館運輸事務所・函館商工会議所・函館市物産協会・函館観光協会、全国水産製品展示会、展示品　全道竝全国罐詰、壜詰類水産加工品其他参考品、主催　函館市役所・函館市水産会、会場　ボーニ森屋,,,78.0×52.0cm,,po000364
全国特産品博覧会,,,,76.5×52.5cm,,po000365
躍進日本大博覧会,,,,77.0×53.0cm,,po000366
意匠商標品展覧会,,,,78.0×35.0cm,,po000372
防空展覧会,防空展覧会、敵の空襲に対する市民の心得、会期　七月廿一日ヨリ廿七日マデ、主催　第七師団司令部・北海道庁・函館市役所、後援　函館新聞社、会場　函館丸井今井、サインあり、札幌三田印刷納,,,77.5×53.5cm,,po000374
第八回　商工省輸出品包装展覧会,第八回商工輸出品包装展覧会、会期　昭和八年　自八月七日　至八月廿一日、会場　高砂小学校、入場無料、主催　商工省、協賛　函館市役所・函館商工会議所、地方物産陳列即賣会の日程の紙付き,,,76.5×53.0cm,,po000375
聖保禄高女バザー,浴場部認印あり,,,54.0×39.5cm,,po000376
第一回函館特産品展覧会,第一回函館特産品展覧会、函館商業会議所主催、木工家具毛皮革工品、八月十一日ヨリ十七日マテ、函館公会堂於、毎日午前八時ヨリ午後五時マテ、縦覧隨意、函館恵比須町吉川后版所印行、サインあり,,,79.0×55.5cm,,po000381
第四回北海全道家禽共進会,第四回北海道全道家禽共進会、会期　昭和三年　自十一月八日　至十一月十二日　五日間、会場　函館市民館、主催　函館養鶏組合、後援　北海道養鶏組合連合会,,,64.0×47.0cm,,po000401
第十一回函館没馬能力共進会,第十一回函館没馬能力共進会、会期　六月二十五日・二十六日・二十七日　三日間、場所　函館市高森砂丘（褒賞授与式廿七日午前十時）、餘興　輓馬競争・土産馬地道競争・中間種速競争、後援　農林省・北海道庁・渡島支庁・函館市役所・帝国馬匹恊会・中央畜産会・帝国競馬協会・北海道畜産組合連合会・渡島畜産組合、主催　函館産馬奨勵会・函館市畜産組合・亀田郡畜産組合,,,54.5×39.5cm,,po000425
埼玉甘藷,,,,53.0×39.5cm,,po000430
レート,,,,53.5×34.0cm,,po000516
アセモ・タダレの最新薬　シッカロール,,,,74.5×26.0cm,,po000527
大津屋　太平商店,足袋万仕たてもの商、大津屋太平商店　函館区相生町八十七番地,,,76.0×26.5cm,,po000534
郵便壁新聞,外国郵便サービスが変りました　伸びゆく郵便友の会　新観光切手　,,,77.0×55.0cm,,po000697
郵便壁新聞特集号,書留郵便には価格の御申出を！　生れ変った小包料金　小包喪大きくなり重くなり　アベックで行く「小包はがき」　短い期間の私書箱借用　第３種郵便物の認可申請手数料　かけ足で早い「速達小包」　商略には料金受取人払いの郵便を　代金引換５０万円也　　料金後納の担保引下げ　郵便取戻しや名宛変更の電報料は,,,75.0×52.5cm,,po000718
北海道百年記念＝作文・論文の募集,■作文　　■論文　　主催　北海道　北海道教育委員会,,,73.0×51.0cm,,po000739
フレッシュ絹上布,,,,91.0×61.0cm,,po000776
秩父銘仙,秩父織物工業組合　,,,90.0×61.5cm,,po000777
江戸自慢御裏地,,,,91.5×61.5cm,,po000780
村山大島紬,,,,91.5×61.5cm,,po000781
本場秩父銘仙,鹿部絹織物同業組合,,,91.0×60.0cm,,po000782
サムライ兄弟商会,SUMMER to AUTUMN　夏ヨリ秋,,,54.0×79.0cm,,po000788
箱館一番日本事始め物語　[カレンダー],１９９１　平成３年　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,72.0×53.0cm,,po000791
出版記念フォーラム,「松前波響」作品集　　函館の文化史を彩る人々　　日程平成２年１０月９日（火）　午後６時より　会場ホテル函館ロイヤル　入場料５００円　社団法人　函館青年会議所,,,60.0×42.0cm,,po000793
函館浪漫地詩図夢,,,,73.0×53.0cm,,po000794
函館浪漫地詩図夢Ⅱ,,,,73.0×53.0cm,,po000795
箱館一番日本事始め物語　[カレンダー],海峡　潮　新たなり！！　１９９０　平成２年　,,,72.0×51.0cm,,po000799
青函博（函館EXPO’88）協賛特別企画,謎を秘めた幕末期の箱館　とき８月１１日（木）～３０日（火）　ところ丸井今井・函館７時　　,,,103.0×77.0cm,,po000802
田辺三重松展,海と山と…　雄薄のライブステージ　没後２０年　　北海道立近代美術館,,,73.0×51.0cm,,po000804
森屋,大光作　五月人形陳列　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　,,,76.0×53.5cm,,po000818
チェリー,大演習記念煙草　ＭAＧＮUＭ　ＳＩZE　ＣIＧAＲEＴＴEＳ,,,53.5×31.9cm,,po000853
ピンヘット,大改良　最上紙巻煙草,,,77.0×27.0cm,,po000856
オールド,米国最良煙草　評判第一の品なり,,,80.0×25.5cm,,po000857
パイプケーク,新案特許　煙草代用　製菓部,,,79.0×27.0cm,,po000858
オールド,,,,55.0×79.0cm,,po000860
ルビー,世界一ノ良品　世界一ノ安価　金四銭　,,,61.0×29.0cm,,po000862
牡丹煙草,製造元千葉商店　蓬莱　寸長巻　,,,62.0×44.5cm,,po000863
花雲井,製造元豊田商店　水戸名産,,,61.5×44.0cm,,po000864
露西亜形紙巻煙草,専売露西亜及富国　本品ノ特色ハ火ノ落ザルニアリ　東京浅草　製造元森田商店,,,40.5×53.0cm,,po000865
巻煙草,帝国雲井巻煙草　沼知商会謹製,,,53.5×37.5cm,,po000866
マニラ紙巻,上等巻　定価金三銭　,,,54.0×41.0cm,,po000867
岩谷商会,恭賀新年　天狗煙草製造元,,,53.0×38.5cm,,po000871
牡丹煙草,登録商標千葉商店　白牡丹　羽衣　菊世界,,,59.0×45.0cm,,po000876
ホーニー巻煙草,京都　村井兄弟商会製造,,,76.0×46.0cm,,po000878
ピーコック,巴里万国博覧会金賞牌受領　優等紙巻煙草,,,72.5×51.0cm,,po000879
ホーク,大改良　東京合名会社木村商店製造　大賣別所　十本箱入金三銭　,,,78.0×35.5cm,,po000880
春の福引大売出し,化粧品とおクスリ　江差観桜三百名様御招待　売出期間　三月二十五日ヨリ四月二十日マデ,,,87.0×60.5cm,,po000882
レコード石鹸,高級　化粧用洗濯用　スタンダード油脂株式会社,,,38.0×13.5cm,,po000884
老牌金剛石牙粉,日本東京　,,,78.5×52.5cm,,po000893
クラブ美身クリーム,愛用者御優待大懸賞　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　懸賞付,,,79.0×53.5cm,,po000895
楽生堂Ｈ．Ｓ線療院,驚異的科学の進歩　淋病患者ニ急告！　目下再発の時期（特に淋病者には無効返金）急性慢性共に根治する,,,79.0×55.0cm,,po000897
クラブ美身クリーム,アレ止め日ヤケ化粧料　クラブ淡白クリーム　クラブ白粉本店,,,76.0×53.0cm,,po000899
ライオン歯磨,愛用者御招待　春のレビュー祭　,,,92.0×62.5cm,,po000900
クラブ美身クリーム,全道映画観招待　空前の愛用者招待　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　　チラシ付（松竹座　宝来館　大門日活館　弁天座　中央座　帝国館　万歳館）,,,75.0×53.0cm,,po000901
クラブ美身クリーム,愛用者御招待　ホルモン配合　大評判の栄養クリーム　,,,75.0×53.0cm,,po000902
